요약재무제표(단위: 백만원)
계정과목	2018.Q4	2019.Q1	2019.Q2	2019.Q3	2019.Q4	2020.Q1	2020.Q2	2020.Q3	2020.Q4	2021.Q1	2021.Q2	2021.Q3	2021.Q4	2022.Q1	2022.Q2	2022.Q3	2022.Q4	2023.Q1
유동자산	NA	349321	264094	233199	245507	232068	281763	266841	270110	305576	430315	557223	622506	750792	1575511	1523222	1429749	1766023
비유동자산	NA	274452	322422	370968	404849	421056	419618	463059	501204	506602	533353	565736	610691	640643	789612	855300	917822	1005009
자산총계	NA	623773	586517	604167	650356	653125	701382	729901	771315	812179	963668	1122960	1233197	1391436	2365123	2378522	2347571	2771033
유동부채	NA	184840	137931	150125	137876	140952	183143	185221	185400	222888	319731	398117	523478	680094	970077	916974	888628	1317919
비유동부채	NA	96118	91333	87826	142273	136555	124461	116231	142232	140652	163434	207272	150992	153297	159779	140747	138164	121080
부채총계	NA	280959	229264	237952	280149	277508	307604	301452	327632	363541	483166	605390	674470	833392	1129857	1057721	1026793	1438999
자본금	NA	10008	10180	10277	10277	10277	10482	10517	NA	NA	NA	NA	NA	11459	48940	48940	NA	48940
이익잉여금	NA	66270	80223	89125	92997	98335	112332	126061	135792	140696	162814	199857	231005	230312	280600	366597	382115	392077
자본총계	NA	342814	357253	366214	370206	375617	393777	428448	443682	448638	480502	517570	558726	558044	1235266	1320800	1320778	1332034
매출액	NA	180664	136001	152097	147323	167679	189943	250205	247383	263435	310662	409568	502472	491925	700813	1059215	1163360	1253194
영업이익	NA	14548	11052	9846	1631	8820	13914	17874	15376	18895	30720	43816	33834	32543	78295	90704	61090	71425
법인세차감전 순이익	NA	13183	9829	8054	-2725	9835	12126	15147	10968	17764	29042	46114	33586	27866	62784	106189	12445	66279
당기순이익	NA	10573	13953	8901	1054	8409	13997	13728	10881	14332	22118	34899	35396	20318	55063	85997	13877	53907
